"Biomarker","Description","Phenotype","HUNT_all","UKBB","HUNT_reduced","Analysis_type","Design","key"
"Acetate","Acetate","BC","0.864(95% CI:0.707-1.057; P=0.1556729816)","1.001(95% CI:0.979-1.023; P=0.9567986395)","0.765(95% CI:0.583-1.003; P=0.0524747057)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Acetoacetate","Acetoacetate","BC","1.065(95% CI:0.961-1.181; P=0.2298720211)","1.037(95% CI:1.017-1.059; P=0.000362079)","1.061(95% CI:0.947-1.189; P=0.3044576017)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Acetone","Acetone","BC","1.001(95% CI:0.881-1.138; P=0.9847271428)","1.026(95% CI:1.006-1.046; P=0.0116788895)","1.014(95% CI:0.885-1.162; P=0.8403119207)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Ala","Alanine","BC","1.038(95% CI:0.91-1.183; P=0.581452402)","0.998(95% CI:0.976-1.021; P=0.869916877)","1.141(95% CI:0.985-1.322; P=0.0775708973)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Albumin","Albumin","BC","0.866(95% CI:0.753-0.996; P=0.0435975325)","0.96(95% CI:0.938-0.983; P=0.0005768948)","0.948(95% CI:0.814-1.103; P=0.4889213903)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"ApoA1","Apolipoprotein A1","BC","0.997(95% CI:0.868-1.145; P=0.9637006652)","0.986(95% CI:0.963-1.011; P=0.2687900547)","0.997(95% CI:0.853-1.164; P=0.9652196576)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"ApoB","Apolipoprotein B","BC","0.972(95% CI:0.844-1.119; P=0.6901286761)","1.008(95% CI:0.986-1.032; P=0.4728429515)","1.009(95% CI:0.866-1.175; P=0.9088450366)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"bOHbutyrate","3-Hydroxybutyrate","BC","1.038(95% CI:0.92-1.172; P=0.5433578549)","1.032(95% CI:1.011-1.054; P=0.0031678293)","1.038(95% CI:0.909-1.186; P=0.580100986)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Cholines","Total Cholines","BC","0.984(95% CI:0.85-1.139; P=0.8324835796)","1(95% CI:0.977-1.024; P=0.9819037443)","1.016(95% CI:0.87-1.187; P=0.8378540262)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Citrate","Citrate","BC","0.997(95% CI:0.879-1.131; P=0.9627535722)","1.008(95% CI:0.986-1.032; P=0.4734139384)","1.025(95% CI:0.935-1.124; P=0.5969567179)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Clinical_LDL_C","Clinical LDL Cholesterol","BC","0.948(95% CI:0.825-1.089; P=0.4469769375)","1.001(95% CI:0.979-1.024; P=0.897409344)","0.991(95% CI:0.853-1.151; P=0.9062641272)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Creatinine","Creatinine","BC","0.979(95% CI:0.85-1.127; P=0.7669574817)","1.003(95% CI:0.98-1.027; P=0.7692096347)","0.979(95% CI:0.841-1.14; P=0.7864365139)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"DHA","Docosahexaenoic Acid","BC","0.92(95% CI:0.795-1.064; P=0.2600520101)","0.99(95% CI:0.967-1.014; P=0.4111734122)","0.916(95% CI:0.78-1.075; P=0.2824624568)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Gln","Glutamine","BC","0.978(95% CI:0.853-1.121; P=0.7481186032)","0.963(95% CI:0.942-0.986; P=0.0012998404)","1.061(95% CI:0.911-1.236; P=0.4461494585)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Glucose","Glucose","BC","1(95% CI:0.875-1.143; P=0.9976872692)","1.009(95% CI:0.987-1.033; P=0.4231544612)","1.046(95% CI:0.905-1.21; P=0.5419626995)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Gly","Glycine","BC","0.964(95% CI:0.844-1.1; P=0.5861073898)","0.967(95% CI:0.945-0.989; P=0.0040020741)","0.953(95% CI:0.819-1.109; P=0.5343990953)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"GlycA","Glycoprotein Acetyls","BC","1.1(95% CI:0.953-1.271; P=0.1920249061)","1.037(95% CI:1.01-1.063; P=0.0057396129)","1.091(95% CI:0.926-1.286; P=0.2967746899)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_C","HDL Cholesterol","BC","0.985(95% CI:0.858-1.132; P=0.8357308723)","0.98(95% CI:0.956-1.005; P=0.108432126)","0.972(95% CI:0.829-1.14; P=0.7251583988)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_CE","Cholesteryl Esters in HDL","BC","0.978(95% CI:0.852-1.123; P=0.7542932422)","0.978(95% CI:0.954-1.003; P=0.0801862409)","0.964(95% CI:0.822-1.131; P=0.6511332043)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_FC","Free Cholesterol in HDL","BC","1.009(95% CI:0.878-1.159; P=0.9020731165)","0.987(95% CI:0.963-1.011; P=0.2910708281)","0.994(95% CI:0.849-1.162; P=0.9361562952)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_L","Total Lipids in HDL","BC","1.01(95% CI:0.879-1.16; P=0.8914708691)","0.986(95% CI:0.962-1.01; P=0.2440835012)","1.004(95% CI:0.859-1.173; P=0.9632261446)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_PL","Phospholipids in HDL","BC","1.018(95% CI:0.886-1.168; P=0.8035298941)","0.989(95% CI:0.965-1.013; P=0.357934904)","1.014(95% CI:0.869-1.184; P=0.8581918193)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_TG","Triglycerides in HDL","BC","1.066(95% CI:0.93-1.22; P=0.3593314565)","1.019(95% CI:0.996-1.043; P=0.0990676184)","1.07(95% CI:0.923-1.241; P=0.3669621772)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"His","Histidine","BC","1.024(95% CI:0.896-1.17; P=0.7269521921)","0.967(95% CI:0.945-0.991; P=0.0059126586)","1.125(95% CI:0.971-1.305; P=0.117629488)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_C","Cholesterol in IDL","BC","0.947(95% CI:0.824-1.09; P=0.4492704444)","0.999(95% CI:0.977-1.022; P=0.9525017901)","0.977(95% CI:0.841-1.136; P=0.7666797705)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_CE","Cholesteryl Esters in IDL","BC","0.948(95% CI:0.824-1.09; P=0.4519960725)","0.999(95% CI:0.976-1.022; P=0.905976596)","0.977(95% CI:0.84-1.137; P=0.7652899977)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_FC","Free Cholesterol in IDL","BC","0.938(95% CI:0.817-1.078; P=0.3666788268)","1.001(95% CI:0.978-1.024; P=0.93889263)","0.963(95% CI:0.829-1.12; P=0.6277855223)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_PL","Phospholipids in IDL","BC","0.948(95% CI:0.823-1.092; P=0.4614405555)","1.003(95% CI:0.98-1.026; P=0.8038234223)","0.977(95% CI:0.839-1.136; P=0.7597839664)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_TG","Triglycerides in IDL","BC","1.072(95% CI:0.933-1.232; P=0.3240049168)","1.025(95% CI:1.002-1.049; P=0.0314623619)","1.065(95% CI:0.918-1.235; P=0.4090237435)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Ile","Isoleucine","BC","0.989(95% CI:0.869-1.125; P=0.862910457)","1.022(95% CI:1-1.045; P=0.0536063099)","1.055(95% CI:0.912-1.22; P=0.4740223014)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_C","Cholesterol in Large HDL","BC","1.001(95% CI:0.872-1.15; P=0.9849459759)","0.981(95% CI:0.956-1.006; P=0.13212872)","0.966(95% CI:0.822-1.135; P=0.6753720625)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_CE","Cholesteryl Esters in Large HDL","BC","0.997(95% CI:0.868-1.145; P=0.9635894178)","0.98(95% CI:0.955-1.005; P=0.109843925)","0.961(95% CI:0.817-1.13; P=0.6285829645)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_FC","Free Cholesterol in Large HDL","BC","1.017(95% CI:0.886-1.166; P=0.8150671238)","0.984(95% CI:0.96-1.009; P=0.216912543)","0.98(95% CI:0.836-1.15; P=0.8062018524)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_PL","Phospholipids in Large HDL","BC","1.024(95% CI:0.893-1.174; P=0.7347222252)","0.985(95% CI:0.96-1.009; P=0.224152971)","0.989(95% CI:0.844-1.159; P=0.8957909178)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_TG","Triglycerides in Large HDL","BC","1.065(95% CI:0.932-1.218; P=0.3551870685)","1.008(95% CI:0.985-1.031; P=0.4926714193)","1.04(95% CI:0.901-1.202; P=0.589458852)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_C","Cholesterol in Large LDL","BC","0.929(95% CI:0.809-1.068; P=0.3023135784)","1(95% CI:0.978-1.023; P=0.9945204775)","0.977(95% CI:0.84-1.136; P=0.7617615357)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_CE","Cholesteryl Esters in Large LDL","BC","0.929(95% CI:0.808-1.068; P=0.3030523411)","1.001(95% CI:0.979-1.024; P=0.9031884808)","0.979(95% CI:0.842-1.139; P=0.7845593673)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_FC","Free Cholesterol in Large LDL","BC","0.922(95% CI:0.804-1.057; P=0.2443465037)","0.995(95% CI:0.973-1.018; P=0.6592161398)","0.959(95% CI:0.825-1.113; P=0.5807023685)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_PL","Phospholipids in Large LDL","BC","0.94(95% CI:0.817-1.081; P=0.3830889767)","1.001(95% CI:0.979-1.024; P=0.9196968415)","0.979(95% CI:0.842-1.139; P=0.784841841)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_TG","Triglycerides in Large LDL","BC","1.08(95% CI:0.939-1.241; P=0.2803048476)","1.024(95% CI:1.001-1.048; P=0.0396862574)","1.073(95% CI:0.925-1.245; P=0.3536084879)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_C","Cholesterol in Large VLDL","BC","1.04(95% CI:0.906-1.193; P=0.5799664788)","1.019(95% CI:0.995-1.043; P=0.1148069266)","1.081(95% CI:0.927-1.261; P=0.3185886609)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_CE","Cholesteryl Esters in Large VLDL","BC","1.024(95% CI:0.892-1.176; P=0.7349971316)","1.017(95% CI:0.993-1.041; P=0.1662648695)","1.065(95% CI:0.913-1.242; P=0.4209764495)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_FC","Free Cholesterol in Large VLDL","BC","1.061(95% CI:0.927-1.214; P=0.3925934761)","1.021(95% CI:0.997-1.046; P=0.0818618489)","1.101(95% CI:0.946-1.281; P=0.2132094922)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_PL","Phospholipids in Large VLDL","BC","1.068(95% CI:0.933-1.221; P=0.3401257845)","1.022(95% CI:0.998-1.046; P=0.0710615051)","1.105(95% CI:0.951-1.286; P=0.1929765272)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
