"Biomarker" "Estimate" "lower95" "upper95" "Pvalue" "UKB.Field.ID" "Description" "group_name" "Phenotype" "Analysis_type" "Design" "Origin" "marker_and_origin" "origin_and_analysis_type" "fill"
"1" "Acetate" 0.864360848191152 0.706812592623717 1.05702654944557 0.15567298158158 23475 "Acetate" "Ketone bodies" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "Acetate_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"2" "Acetoacetate" 1.06517353872687 0.960860352656135 1.18081120161481 0.22987202113196 23476 "Acetoacetate" "Ketone bodies" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "Acetoacetate_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"3" "Acetone" 1.00125021830403 0.881019351537698 1.13788873979231 0.984727142822626 23477 "Acetone" "Ketone bodies" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "Acetone_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"4" "Ala" 1.03761737512068 0.909952026569691 1.18319404288934 0.581452402030244 20281 "Alanine" "Amino acids" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "Ala_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"5" "Albumin" 0.866253873224055 0.753497550444574 0.995883493493686 0.0435975325124721 23479 "Albumin" "Fluid balance" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "Albumin_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "sig"
"6" "ApoA1" 0.996779912920769 0.867511140932272 1.1453111642285 0.96370066522379 23440 "Apolipoprotein A1" "Apolipoproteins" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "ApoA1_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"7" "ApoB" 0.971656346120608 0.84357458817167 1.11918503496258 0.690128676122162 23439 "Apolipoprotein B" "Apolipoproteins" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "ApoB_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"8" "ApoB_by_ApoA1" 0.975949202728028 0.850625645554884 1.11973680935066 0.728461843605092 23441 "Apolipoprotein B to Apolipoprotein A1 ratio" "Apolipoproteins" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "ApoB_by_ApoA1_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"9" "bOHbutyrate" 1.03817643815528 0.920019122722097 1.17150860250798 0.543357854861945 23474 "3-Hydroxybutyrate" "Ketone bodies" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "bOHbutyrate_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"10" "Cholines" 0.984348399927019 0.850480894265117 1.13928693633515 0.832483579621137 23436 "Total Cholines" "Other lipids" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "Cholines_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"11" "Citrate" 0.996999722113568 0.878870530555275 1.13100668566792 0.96275357215301 23473 "Citrate" "Glycolysis related metabolites" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "Citrate_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"12" "Clinical_LDL_C" 0.947574804474675 0.824781510433617 1.08864953774626 0.446976937492266 23404 "Clinical LDL Cholesterol" "Cholesterol" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "Clinical_LDL_C_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
